seed_name,seed_variety,seed_type,seed_quality,crop,season,soil_type,field_composition,soil_ph,temperature,humidity,rainfall,moisture,field_quality,field_history,state,district,recommended_crop,recommended_seed,area,production,yield
Bajra seed,HHB67,Desi,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.3,28,39,502,30,Low,Mustard,Maharashtra,Nagpur,Bajra,RHB121,250,1473,3268
Cotton seed,RCH2,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.1,22,63,753,43,Medium,Soybean,Odisha,Cuttack,Cotton,Bollgard,313,1413,2437
Soybean seed,JS9560,Desi,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.6,27,66,707,51,Low,Fallow,Andhra Pradesh,Anantapur,Soybean,JS9560,300,1373,3658
Maize seed,HQPM1,HYV,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.4,22,54,658,57,High,Wheat,Bihar,Patna,Maize,PMH1,171,228,4226
Cotton seed,RCH2,Desi,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.7,29,67,684,53,Low,Groundnut,Andhra Pradesh,Anantapur,Cotton,RCH2,294,1613,2771
Maize seed,PMH1,Hybrid,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.4,25,66,546,31,High,Fallow,Tamil Nadu,Madurai,Maize,HQPM1,76,1992,3799
Gram seed,JG11,Desi,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.2,23,37,428,63,High,Rice,Bihar,Muzaffarpur,Gram,JG16,500,1145,3929
Mustard seed,Pusa Bold,HYV,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.7,15,37,411,74,Medium,Bajra,Chhattisgarh,Raipur,Mustard,Varuna,132,1573,1999
Gram seed,JG16,Desi,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.5,22,42,311,56,High,Soybean,Andhra Pradesh,Anantapur,Gram,Pusa372,302,1861,4890
Soybean seed,JS335,HYV,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.5,20,56,832,39,Medium,Cotton,Bihar,Muzaffarpur,Soybean,NRC37,308,250,1715
Cotton seed,Bollgard,Hybrid,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.9,32,66,825,84,High,Soybean,Madhya Pradesh,Jabalpur,Cotton,RCH2,86,433,2697
Bajra seed,ICTP8203,Hybrid,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",5.6,28,47,449,38,Medium,Fallow,Tamil Nadu,Chennai,Bajra,RHB121,136,400,1755
